date,symbol,name,open,high,low,close,change_percent,volume,amount,source
2026-06-02,000001,上证指数,4061.46,4089.57,4032.58,4075.1,0.43,64224465600.0,1280966000000.0,csindex
2026-06-02,000300,沪深300,4860.61,4930.28,4832.0,4914.56,1.45,28173166200.0,806751000000.0,csindex
2026-06-02,000688,科创50,1676.31,1710.98,1641.17,1690.56,1.61,1557622000.0,133708999999.99998,csindex
2026-06-02,000852,中证1000,8360.81,8440.23,8219.15,8384.78,0.48,29277785300.0,589657000000.0,csindex
2026-06-02,399001,深证成指,15410.7,15664.39,15203.8,15591.13,1.6347,737350307.0,1512025925700.0,tencent
2026-06-02,399006,创业板指,3987.41,4083.92,3946.11,4055.87,2.6558,203915728.0,714031279200.0,tencent
2026-06-02,899050,北证50,1250.38,1257.81,1228.52,1252.21,0.2,810389617.0,20235000000.0,csindex
2026-06-03,000001,上证指数,4068.34,4107.05,4059.91,4083.97,0.22,66845258300.0,1429756000000.0,csindex
2026-06-03,000300,沪深300,4921.34,4991.85,4904.9,4938.81,0.49,30403594700.0,906048000000.0,csindex
2026-06-03,000688,科创50,1697.66,1776.2,1697.36,1726.18,2.11,1682555400.0,166311000000.0,csindex
2026-06-03,000852,中证1000,8386.86,8549.25,8357.46,8432.68,0.57,31829116600.0,688233000000.0,csindex
2026-06-03,399001,深证成指,15646.69,15962.36,15542.66,15704.71,0.7285,792737877.0,1700522735400.0,tencent
2026-06-03,399006,创业板指,4089.02,4218.33,4063.2,4122.99,1.6549,218925848.0,803001384400.0,tencent
2026-06-03,899050,北证50,1252.74,1271.1,1236.1,1246.24,-0.48,855927760.0,23141000000.0,csindex
2026-06-04,000001,上证指数,4053.67,4080.72,4043.43,4057.78,-0.64,62119477400.0,1274652000000.0,csindex
2026-06-04,000300,沪深300,4897.32,4938.78,4889.75,4904.75,-0.69,26480891000.0,736143000000.0,csindex
2026-06-04,000688,科创50,1700.31,1759.98,1697.22,1738.06,0.69,1496770100.0,132618000000.0,csindex
2026-06-04,000852,中证1000,8338.85,8456.02,8338.85,8420.09,-0.15,28617360900.0,599543000000.0,csindex
2026-06-04,399001,深证成指,15540.06,15745.19,15517.94,15661.57,-0.2747,718939421.0,1483016698100.0,tencent
2026-06-04,399006,创业板指,4072.55,4114.24,4051.15,4088.88,-0.8273,202724870.0,697606653000.0,tencent
2026-06-04,899050,北证50,1231.82,1241.38,1220.62,1230.26,-1.28,840567443.0,21748000000.0,csindex
2026-06-05,000001,上证指数,4044.83,4078.93,4015.06,4027.74,-0.74,66291857700.0,1363888000000.0,csindex
2026-06-05,000300,沪深300,4886.96,4924.34,4798.91,4816.92,-1.79,30192933600.0,839864000000.0,csindex
2026-06-05,000688,科创50,1706.53,1735.08,1659.48,1668.33,-4.01,1683570900.0,136854000000.0,csindex
2026-06-05,000852,中证1000,8380.85,8500.1,8305.4,8340.96,-0.94,31495357600.0,664779000000.0,csindex
2026-06-05,399001,深证成指,15595.7,15710.14,15243.51,15314.7,-2.2148,818251186.0,1705304054199.9998,tencent
2026-06-05,399006,创业板指,4079.95,4105.21,3933.07,3957.94,-3.2023,228732023.0,816091905800.0,tencent
2026-06-05,899050,北证50,1232.53,1327.47,1226.58,1299.07,5.59,1179184431.0,31880000000.0,csindex
2026-06-08,000001,上证指数,3938.71,4007.49,3927.85,3959.34,-1.7,65929355500.0,1267277000000.0,csindex
2026-06-08,000300,沪深300,4703.77,4779.86,4677.57,4713.64,-2.14,29964756500.0,761046000000.0,csindex
2026-06-08,000688,科创50,1587.97,1634.03,1578.18,1596.57,-4.3,1570749900.0,119405000000.0,csindex
2026-06-08,000852,中证1000,8069.48,8260.19,7987.4,8081.26,-3.11,30353698500.0,603155000000.0,csindex
2026-06-08,399001,深证成指,14835.37,15137.75,14681.64,14821.19,-3.2225,788640863.0,1525460875100.0,tencent
2026-06-08,399006,创业板指,3820.23,3903.77,3776.93,3811.79,-3.6926,228336414.0,722402374900.0,tencent
2026-06-08,899050,北证50,1269.71,1363.52,1262.57,1316.31,1.33,1177900246.0,30906000000.0,csindex
2026-06-09,000001,上证指数,3977.54,4010.87,3955.91,4010.03,1.28,57657009000.0,1173089000000.0,csindex
2026-06-09,000300,沪深300,4743.45,4802.5,4715.39,4801.81,1.87,25839160100.0,713287000000.0,csindex
2026-06-09,000688,科创50,1630.23,1666.48,1607.58,1663.11,4.17,1409895800.0,112366000000.00002,csindex
2026-06-09,000852,中证1000,8178.82,8322.11,8096.58,8318.7,2.94,29309759700.0,602773000000.0,csindex
2026-06-09,399001,深证成指,14992.55,15274.72,14846.55,15268.71,3.0195,718050679.0,1467207129000.0,tencent
2026-06-09,399006,创业板指,3865.69,3962.9,3823.76,3961.75,3.9341,209755585.0,720241468500.0,tencent
2026-06-09,899050,北证50,1317.17,1337.93,1294.38,1337.93,1.64,963174141.0,26625000000.0,csindex
2026-06-10,000001,上证指数,3985.12,4006.31,3963.44,3993.23,-0.42,59869473900.0,1227070000000.0,csindex
2026-06-10,000300,沪深300,4753.12,4786.52,4718.99,4748.59,-1.11,25929710900.0,694628000000.0,csindex
2026-06-10,000688,科创50,1662.85,1722.33,1632.33,1652.22,-0.65,1591172500.0,139089000000.0,csindex
2026-06-10,000852,中证1000,8232.02,8285.29,8103.01,8198.72,-1.44,28684456600.0,582027000000.0,csindex
2026-06-10,399001,深证成指,15062.51,15149.37,14817.11,14954.1,-2.0605,710462329.0,1392172809800.0,tencent
2026-06-10,399006,创业板指,3897.73,3928.36,3818.31,3854.79,-2.6998,203947087.0,648811830100.0,tencent
2026-06-10,899050,北证50,1322.5,1334.75,1292.42,1295.6,-3.16,932481850.0,25133000000.0,csindex
2026-06-11,000001,上证指数,3979.71,3997.48,3958.44,3987.01,-0.16,56854524400.0,1185555000000.0,csindex
2026-06-11,000300,沪深300,4730.07,4766.17,4685.5,4722.41,-0.55,24717705900.0,653932000000.0,csindex
2026-06-11,000688,科创50,1644.6,1676.53,1631.94,1662.44,0.62,1422069400.0,117156000000.0,csindex
2026-06-11,000852,中证1000,8158.46,8223.53,8084.9,8159.45,-0.48,27116395300.0,577081000000.0,csindex
2026-06-11,399001,深证成指,14889.57,15062.75,14706.09,14851.98,-0.6829,669817686.0,1366466938800.0,tencent
2026-06-11,399006,创业板指,3839.19,3910.28,3755.61,3811.25,-1.1295,198465341.0,649928667500.0,tencent
2026-06-11,899050,北证50,1282.42,1282.42,1248.56,1252.3,-3.34,906055359.0,23120000000.0,csindex
2026-06-12,000001,上证指数,4017.86,4060.27,4008.18,4031.51,1.12,74313109200.0,1537402000000.0,csindex
2026-06-12,000300,沪深300,4784.64,4809.86,4757.56,4777.32,1.16,33592206300.0,871477000000.0,csindex
2026-06-12,000688,科创50,1726.01,1730.89,1656.85,1663.22,0.05,2101856700.0,175820000000.0,csindex
2026-06-12,000852,中证1000,8294.9,8348.79,8181.42,8202.8,0.53,32859908500.0,717319000000.0,csindex
2026-06-12,399001,深证成指,15149.52,15171.22,14943.43,14963.41,0.7503,792336423.0,1677548225900.0,tencent
